Suburb,Site_title,Site_streetaddress,Site_state,Site_postcode,Exposure_date_dtm,Exposure_date,Exposure_time,Notes,Added_date_dtm,Added_date,Added_time,Advice_title,Advice_instruction,Exposure_time_start_24,Exposure_time_end_24
South Yarra,Taco Bell Chapel Street,352 Chapel Street,VIC,3141,2021-05-23,23/05/2021,5:30pm - 6:45pm,Case attended venue,2021-05-29,29/05/2021,2:08 pm,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,17:30:00,18:45:00
Epping,"Pacific Epping Plaza - Cotton On, Edge, Valleygirl, Supre and Boost Juice",571 - 583 High Street,VIC,3076,2021-05-25,25/05/2021,10:05am - 11:45am,Case walked around venue and attended multiple shops,2021-05-29,29/05/2021,4:26 pm,Tier 2 - Get tested urgently and isolate until you have a negative result,"Anyone who has visited this location during these times is strongly encouraged to urgently get a test and isolate until they receive a negative result.
",10:05:00,11:45:00
Epping,Pacific Epping Plaza,571 - 583 High Street,VIC,3076,2021-05-25,25/05/2021,10:05am - 11:45am,Case attended venue,2021-05-29,29/05/2021,4:26 pm,Tier 3 - Monitor for symptoms,"Anyone who has visited this location during these times should monitor for symptoms - If symptoms develop, immediately get tested and isolate until you receive a negative result.",10:05:00,11:45:00
Thomastown,Supa IGA Thomastown,122 Main Street,VIC,3074,2021-05-24,24/05/2021,11:10am - 11:50am,Case attended venue,2021-05-29,29/05/2021,4:26 pm,Tier 2 - Get tested urgently and isolate until you have a negative result,"Anyone who has visited this location during these times is strongly encouraged to urgently get a test and isolate until they receive a negative result.
",11:10:00,11:50:00
Mickleham,Chemist Warehouse Mickleham,250 - 270 Donnybrook Road,VIC,3064,2021-05-22,22/05/2021,1:45pm - 2:45pm,Case attended venue,2021-05-29,29/05/2021,4:26 pm,Tier 2 - Get tested urgently and isolate until you have a negative result,"Anyone who has visited this location during these times is strongly encouraged to urgently get a test and isolate until they receive a negative result.
",13:45:00,14:45:00
Braeside,Shell Coles Express Braeside,918 - 928 Springvale Road Cnr Governor Road,VIC,3064,2021-05-22,22/05/2021,8:15am - 9:00am,Case attended venue,2021-05-29,29/05/2021,4:26 pm,Tier 2 - Get tested urgently and isolate until you have a negative result,"Anyone who has visited this location during these times is strongly encouraged to urgently get a test and isolate until they receive a negative result.
",08:15:00,09:00:00
Mernda,Caltex Mernda,1631W Plenty Road,VIC,3074,2021-05-25,25/05/2021,11:30am - 12:10pm,Case attended venue,2021-05-29,29/05/2021,7:40 pm,Tier 2 - Get tested urgently and isolate until you have a negative result,"Anyone who has visited this location during these times is strongly encouraged to urgently get a test and isolate until they receive a negative result.
",11:30:00,12:10:00
Thomastown,7-Eleven Thomastown North,Cnr Edgars Road and Main Street,VIC,3074,2021-05-24,24/05/2021,11:00am - 11:45am,Case attended venue,2021-05-29,29/05/2021,7:40 pm,Tier 2 - Get tested urgently and isolate until you have a negative result,"Anyone who has visited this location during these times is strongly encouraged to urgently get a test and isolate until they receive a negative result.
",11:00:00,11:45:00
Bundoora,"La Trobe University, Library All Levels (Except level 1)",Plenty Road & Kingsbury Drive,VIC,3086,2021-05-25,25/05/2021,11:45am - 2:30pm,Case attended venue,2021-05-29,29/05/2021,7:40 pm,Tier 2 - Get tested urgently and isolate until you have a negative result,"Anyone who has visited this location during these times is strongly encouraged to urgently get a test and isolate until they receive a negative result.
",11:45:00,14:30:00
South Yarra,Forvic Asian Supermarket,251 Malvern Road,VIC,3141,2021-05-23,23/05/2021,5:00pm - 6:00pm,Case shopped at store,2021-05-29,29/05/2021,9:00 pm,Tier 2 - Get tested urgently and isolate until you have a negative result,"Anyone who has visited this location during these times is strongly encouraged to urgently get a test and isolate until they receive a negative result.
",17:00:00,18:00:00
St Kilda,Woolworths, 64 Fitzroy Street,VIC,3182,2021-05-27,27/05/2021,3:00pm - 3:30pm,Case shopped at store,2021-05-29,29/05/2021,9:40 pm,Tier 2 - Get tested urgently and isolate until you have a negative result,"Anyone who has visited this location during these times is strongly encouraged to urgently get a test and isolate until they receive a negative result.
",15:00:00,15:30:00
St Kilda,McDonalds St Kilda,32 The Esplanade,VIC,3182,2021-05-27,27/05/2021,4:10pm - 4:40pm,Case picked up take away,2021-05-29,29/05/2021,9:40 pm,Tier 3 - Monitor for symptoms,"Anyone who has visited this location during these times should monitor for symptoms - If symptoms develop, immediately get tested and isolate until you receive a negative result.",16:10:00,16:40:00
St Kilda,St Kilda,70A Acland Street,VIC,3182,2021-05-27,27/05/2021,4:20pm - 4:50pm,Case picked up take away,2021-05-29,29/05/2021,9:40 pm,Tier 3 - Monitor for symptoms,"Anyone who has visited this location during these times should monitor for symptoms - If symptoms develop, immediately get tested and isolate until you receive a negative result.",16:20:00,16:50:00
St Kilda,Woolworths,117 Acland Street,VIC,3182,2021-05-28,28/05/2021,5:00pm - 5:30pm,Case shopped in store,2021-05-29,29/05/2021,9:40 pm,Tier 2 - Get tested urgently and isolate until you have a negative result,"Anyone who has visited this location during these times is strongly encouraged to urgently get a test and isolate until they receive a negative result.
",17:00:00,17:30:00
Chadstone,Chadstone Shopping Centre,1341 Dandenong Road,VIC,3148,2021-05-26,26/05/2021,11:30am - 2:00pm,Case walked around venue,2021-05-29,29/05/2021,8:26 pm,Tier 2 - Get tested urgently and isolate until you have a negative result,"Anyone who has visited this location during these times is strongly encouraged to urgently get a test and isolate until they receive a negative result.
",11:30:00,14:00:00
Chadstone,Yokozuna - Chadstone Shopping Centre,1341 Dandenong Road,VIC,3148,2021-05-26,26/05/2021,11:30am - 12:00pm,Case dined at venue,2021-05-29,29/05/2021,8:26 pm,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,11:30:00,12:00:00
Chadstone,Optus - Chadstone Shopping Centre,"Shop B311, 1341 Dandenong Road",VIC,3148,2021-05-26,26/05/2021,12:00pm - 12:40pm,Case shopped in store,2021-05-29,29/05/2021,8:26 pm,Tier 2 - Get tested urgently and isolate until you have a negative result,"Anyone who has visited this location during these times is strongly encouraged to urgently get a test and isolate until they receive a negative result.
",12:00:00,12:40:00
Chadstone,Bakers Delight - Chadstone Shopping Centre,247C/ 1341 Dandenong Road,VIC,3148,2021-05-26,26/05/2021,12:40pm - 12:45pm,Case shopped in store,2021-05-29,29/05/2021,11:08 pm,Tier 2 - Get tested urgently and isolate until you have a negative result,"Anyone who has visited this location during these times is strongly encouraged to urgently get a test and isolate until they receive a negative result.
",12:40:00,12:45:00
Chadstone,Woolworths - Chadstone Shopping Centre,1341 Dandenong Road,VIC,3148,2021-05-26,26/05/2021,12:50pm - 1:30pm,Case shopped in store,2021-05-29,29/05/2021,11:02 pm,Tier 2 - Get tested urgently and isolate until you have a negative result,"Anyone who has visited this location during these times is strongly encouraged to urgently get a test and isolate until they receive a negative result.
",12:50:00,13:30:00
Arthurs Seat,Enchanted Adventure Garden,55 Purves Road,VIC,3936,2021-05-21,21/05/2021,11:25am - 3:00pm,Case attended,2021-05-30,30/05/2021,8:59 am,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,11:25:00,15:00:00
Kakallo,Metricon Homes Kalkallo- Cloverton Display Homes,24 Design Way,VIC,3064,2021-05-26,26/05/2021,2:25pm - 5:28pm,Case attended,2021-05-30,30/05/2021,9:05 am,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,14:25:00,17:28:00
Epping,Kmart Epping,"Epping
Plaza Shopping Center. Cnr High & Cooper Street",VIC,3076,2021-05-16,16/05/2021,2:15pm - 3:05pm,Case attended venue,2021-05-30,30/05/2021,1:11 pm,Tier 2 - Get tested urgently and isolate until you have a negative result,"Anyone who has visited this location during these times is strongly encouraged to urgently get a test and isolate until they receive a negative result.
",14:15:00,15:05:00
Epping,Kmart Epping,"Epping
Plaza Shopping Center. Cnr High & Cooper Street",VIC,3076,2021-05-22,22/05/2021,4:40pm - 5:30pm,Case attended venue,2021-05-30,30/05/2021,1:11 pm,Tier 2 - Get tested urgently and isolate until you have a negative result,"Anyone who has visited this location during these times is strongly encouraged to urgently get a test and isolate until they receive a negative result.
",16:40:00,17:30:00
Epping,Kmart Epping,"Epping
Plaza Shopping Center. Cnr High & Cooper Street",VIC,3076,2021-05-26,26/05/2021,3:20pm - 4:10pm,Case attended venue,2021-05-30,30/05/2021,1:11 pm,Tier 2 - Get tested urgently and isolate until you have a negative result,"Anyone who has visited this location during these times is strongly encouraged to urgently get a test and isolate until they receive a negative result.
",15:20:00,16:10:00
Epping,Coles Epping Plaza,"Shop Q002, Epping Plaza, High Street",VIC,3076,2021-05-16,16/05/2021,1:30pm - 2:35pm,Case attended venue,2021-05-30,30/05/2021,1:11 pm,Tier 2 - Get tested urgently and isolate until you have a negative result,"Anyone who has visited this location during these times is strongly encouraged to urgently get a test and isolate until they receive a negative result.
",13:30:00,14:35:00
Epping,Coles Epping Plaza,"Shop Q002, Epping Plaza, High Street",VIC,3076,2021-05-24,24/05/2021,3:15pm - 4:00pm,Case attended venue,2021-05-30,30/05/2021,1:11 pm,Tier 2 - Get tested urgently and isolate until you have a negative result,"Anyone who has visited this location during these times is strongly encouraged to urgently get a test and isolate until they receive a negative result.
",15:15:00,16:00:00
Craigieburn,PTV Bus Number 525,"Highland
SC/Grand Bvd to Donnybrook Rd/Dwyer Street",VIC,3064,2021-05-19,19/05/2021,3:15pm - 4:45pm,From Highland SC/Grand Bvd to Donnybrook Rd/Dwyer Street,2021-05-30,30/05/2021,1:27 pm,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,15:15:00,16:45:00
Craigieburn,PTV Bus Number 525,"Highland
SC/Grand Bvd to Donnybrook Rd/Dwyer Street",VIC,3064,2021-05-25,25/05/2021,3:15pm - 4:45pm,From Highland SC/Grand Bvd to Donnybrook Rd/Dwyer Street,2021-05-30,30/05/2021,1:27 pm,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,15:15:00,16:45:00
Hawthorn,Short Straw,743B Glenferrie Road ,VIC,3122,2021-05-23,23/05/2021,10:50am - 2:20pm,Case attended,2021-05-30,30/05/2021,1:27 pm,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,10:50:00,14:20:00
Bundoora,Agora IGA Express (La Trobe University),"La Trobe University, Melbourne Campus, Shop 1 Agora East, Bundoora VIC 3083",VIC,3083,2021-05-25,25/05/2021,11:20am - 12:15pm,Case attended,2021-05-30,30/05/2021,1:56 am,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,11:20:00,12:15:00
Bundoora,Uni Hill Town Centre,5 Janefield Drive,VIC,3083,2021-05-25,25/05/2021,2:47pm - 4:07pm,Case attended,2021-05-30,30/05/2021,2:17 pm,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,14:47:00,16:07:00
Epping,Coles Epping Plaza,"Shop Q002, Epping Plaza, High Street",VIC,3076,2021-05-19,19/05/2021,3:00pm - 3:48pm,Case attended,2021-05-30,30/05/2021,2:17 pm,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,15:00:00,15:48:00
Doreen,Laurimar Medical Centre,120 - 122 Painted Hills Road,VIC,3754,2021-05-25,25/05/2021,10:15am - 11:10am,Case attended,2021-05-30,30/05/2021,2:17 pm,Tier 2 - Get tested urgently and isolate until you have a negative result,"Anyone who has visited this location during these times is strongly encouraged to urgently get a test and isolate until they receive a negative result.
",10:15:00,11:10:00
Craigieburn,Ambarsari Dhaba,3/38 Craigieburn Road,VIC,3064,2021-05-26,26/05/2021,7:20pm - 8:00pm,Case collected take away,2021-05-30,30/05/2021,2:17 pm,Tier 2 - Get tested urgently and isolate until you have a negative result,"Anyone who has visited this location during these times is strongly encouraged to urgently get a test and isolate until they receive a negative result.
",19:20:00,20:00:00
