Suburb,Site_title,Site_streetaddress,Site_state,Site_postcode,Exposure_date_dtm,Exposure_date,Exposure_time,Notes,Added_date_dtm,Added_date,Added_time,Advice_title,Advice_instruction,Exposure_time_start_24,Exposure_time_end_24
Port Melbourne,"Port Park Cafe
",7/484 Graham St,VIC,3207,2021-05-24,24/05/2021,12:30pm - 1:00pm,Case attended venue,2021-05-26,26/05/2021,12:46 am,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,12:30:00,13:00:00
Port Melbourne,"The Local, Port Melbourne",22-24 Bay Street,VIC,3207,2021-05-21,21/05/2021,1:40pm - 3:30pm,Case dined inside venue,2021-05-26,26/05/2021,12:46 am,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,13:40:00,15:30:00
Prahran ,Somewhere Bar,181 Chapel Street,VIC,3181,2021-05-22,22/05/2021,10:30pm - 1:00am,Case attended venue,2021-05-26,26/05/2021,8:11 am,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,22:30:00,01:00:00
Prahran ,"Three Monkeys

",210 Chapel Street,VIC,3181,2021-05-22,22/05/2021,9:10pm - 11:00pm,Case attended venue,2021-05-26,26/05/2021,8:11 am,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,21:10:00,23:00:00
Prahran ,"Three Monkeys

",210 Chapel Street,VIC,3181,2021-05-23,23/05/2021,12:30am - 2:00am,Case attended venue,2021-05-26,26/05/2021,8:11 am,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,00:30:00,02:00:00
Preston,Adams Reserve Playground,Milton Crescent,VIC,3072,2021-05-23,23/05/2021,2:15pm - 3:45pm,Case attended venue,2021-05-24,24/05/2021,12:50 pm,Tier 2 - Get tested urgently and isolate until you have a negative result,"Anyone who has visited this location during these times is strongly encouraged to urgently get a test and isolate until they receive a negative result.
",14:15:00,15:45:00
Preston,ALDI Preston South,15 Dundas Street,VIC,3072,2021-05-23,23/05/2021,3:45pm - 4:25pm,Case attended venue,2021-05-24,24/05/2021,12:50 pm,Tier 2 - Get tested urgently and isolate until you have a negative result,"Anyone who has visited this location during these times is strongly encouraged to urgently get a test and isolate until they receive a negative result.
",15:45:00,16:25:00
Reservoir,B.T. Connor Reserve,200 Broadhurst Avenue,VIC,3073,2021-05-21,21/05/2021,8:00pm - 11:30pm,Case attended venue,2021-05-24,24/05/2021,8:32 pm,Tier 2 - Get tested urgently and isolate until you have a negative result,"Anyone who has visited this location during these times is strongly encouraged to urgently get a test and isolate until they receive a negative result.
",20:00:00,23:30:00
Reservoir,P & C Indian Grocery & Convenience Store ,246 Broadway,VIC,3073,2021-05-22,22/05/2021,6:00pm - 7:00pm,Case attended venue,2021-05-22,22/05/2021,11:32 pm,Tier 2 - Get tested urgently and isolate until you have a negative result,"Anyone who has visited this location during these times is strongly encouraged to urgently get a test and isolate until they receive a negative result.
",18:00:00,19:00:00
Reservoir,Shell Coles Express Reservoir,192-202 Broadway & Whitelaw Street,VIC,3073,2021-05-18,18/05/2021,3:15pm - 4:15pm,Case attended venue,2021-05-24,24/05/2021,8:31 pm,Tier 2 - Get tested urgently and isolate until you have a negative result,"Anyone who has visited this location during these times is strongly encouraged to urgently get a test and isolate until they receive a negative result.
",15:15:00,16:15:00
